TXNAME,TXNAME*GENEID
NM_001180055.1,NM_001180055.1*YBR012W-A
NM_001180056.2,NM_001180056.2*YBR012W-B
rna-tT(AGU)B,rna-tT(AGU)B*tT(AGU)B
NM_001178364.1,NM_001178364.1*YBR016W
NM_001178368.1,NM_001178368.1*GAL1
NM_001178369.1,NM_001178369.1*FUR4
NM_001178370.1,NM_001178370.1*POA1
NM_001178372.1,NM_001178372.1*SCO2
NM_001178378.1,NM_001178378.1*RKM3
NM_001178379.1,NM_001178379.1*RPL4A
NM_001346796.1,NM_001346796.1*YBR032W
NM_001178381.1,NM_001178381.1*EDS1
NM_001178386.1,NM_001178386.1*CHS2
NM_001178387.1,NM_001178387.1*ATP3
NM_001178388.1,NM_001178388.1*FIG1
NM_001178389.1,NM_001178389.1*FAT1
NM_001178395.1,NM_001178395.1*FMP23
NM_001178396.1,NM_001178396.1*RPS11B
NM_001178402.1,NM_001178402.1*YRO2
rna-tL(UAA)B2,rna-tL(UAA)B2*tL(UAA)B2
NM_001178404.1,NM_001178404.1*YBR056W
rna-tQ(UUG)B,rna-tQ(UUG)B*tQ(UUG)B
NM_001270739.1,NM_001270739.1*YBR056W-A
NM_001178419.3,NM_001178419.3*YBR071W
NM_001178420.1,NM_001178420.1*HSP26
NM_001178421.4,NM_001178421.4*RDH54
NM_001178422.2,NM_001178422.2*PFF1
NM_001178424.2,NM_001178424.2*ECM8
NM_001178426.2,NM_001178426.2*ECM33
rna-tR(UCU)B,rna-tR(UCU)B*tR(UCU)B
rna-tD(GUC)B,rna-tD(GUC)B*tD(GUC)B
NM_001178431.3,NM_001178431.3*TEC1
NM_001178432.1,NM_001178432.1*MIS1
NM_001178433.3,NM_001178433.3*AAC3
NM_001178435.3,NM_001178435.3*RFC5
NM_001178442.2,NM_001178442.2*PBY1
NM_001178444.3,NM_001178444.3*YBR096W
NM_001178445.2,NM_001178445.2*VPS15
NM_001178446.1,NM_001178446.1*MMS4
NM_001178451.1,NM_001178451.1*SIF2
NM_001178452.3,NM_001178452.3*YMC2
NM_001178454.1,NM_001178454.1*PHO88
NM_001178456.2,NM_001178456.2*AIM3
NM_001178458.3,NM_001178458.3*ALG1
NM_001184520.1,NM_001184520.1*SUS1
NM_001178462.1,NM_001178462.1*RAD16
NM_001178466.1,NM_001178466.1*TEF2
NM_001178467.1,NM_001178467.1*MUD1
NM_001270740.1,NM_001270740.1*MEO1
NM_001178479.3,NM_001178479.3*CCZ1
NM_001178483.3,NM_001178483.3*CKS1
NM_001178484.3,NM_001178484.3*MEC1
NM_001178485.2,NM_001178485.2*YBR137W
NM_001178487.3,NM_001178487.3*YBR139W
NM_001178490.1,NM_001178490.1*MAK5
NM_001178493.3,NM_001178493.3*ADH5
NM_001178494.1,NM_001178494.1*MRPS9
NM_001178495.1,NM_001178495.1*RTC2
NM_001178496.3,NM_001178496.3*YSW1
NM_001178497.3,NM_001178497.3*ARA1
NM_001178499.1,NM_001178499.1*APD1
NM_001178500.3,NM_001178500.3*SPP381
NM_001178501.3,NM_001178501.3*RIB7
NM_001178503.1,NM_001178503.1*CNS1
NM_001178506.1,NM_001178506.1*AMN1
NM_001178507.1,NM_001178507.1*IFA38
NM_001178508.3,NM_001178508.3*CDC28
NM_001178509.3,NM_001178509.3*CSH1
NM_001180059.1,NM_001180059.1*YSY6
NM_001178511.3,NM_001178511.3*EXO5
NM_001178513.1,NM_001178513.1*UBS1
NM_001178516.3,NM_001178516.3*PEX32
NM_001178519.3,NM_001178519.3*SEC66
NM_001178523.1,NM_001178523.1*SWD3
NM_001178524.3,NM_001178524.3*ECM31
NM_001178528.1,NM_001178528.1*DTR1
NM_001178531.1,NM_001178531.1*YPC1
NM_001178532.3,NM_001178532.3*YBR184W
NM_001178534.1,NM_001178534.1*PCH2
NM_001178535.1,NM_001178535.1*GDT1
NM_001178537.3,NM_001178537.3*RPS9B
NM_001178539.1,NM_001178539.1*RPL21A
NM_001178540.1,NM_001178540.1*RIM2
NM_001178542.3,NM_001178542.3*AIM4
NM_001178547.3,NM_001178547.3*KTR4
NM_001178548.3,NM_001178548.3*BEM1
NM_001184542.1,NM_001184542.1*YBR200W-A
NM_001178549.1,NM_001178549.1*DER1
NM_001178550.4,NM_001178550.4*MCM7
NM_001178551.2,NM_001178551.2*COS111
NM_001178553.3,NM_001178553.3*KTR3
NM_001178555.4,NM_001178555.4*FTH1
NM_001348891.1,NM_001348891.1*YBR209W
rna-tE(UUC)B,rna-tE(UUC)B*tE(UUC)B
NM_001178558.1,NM_001178558.1*ERV15
NM_001178560.3,NM_001178560.3*NGR1
NM_001178561.1,NM_001178561.1*MET8
NM_001178562.1,NM_001178562.1*SDS24
NM_001178563.3,NM_001178563.3*HPC2
NM_001178565.1,NM_001178565.1*ATG12
NM_001184644.1,NM_001184644.1*YBR221W-A
NM_001178573.1,NM_001178573.1*YBR225W
NM_001178576.3,NM_001178576.3*SLX1
NM_001184673.1,NM_001184673.1*YBR230W-A
NM_001178581.3,NM_001178581.3*PBP2
NM_001184461.1,NM_001184461.1*DAD3
NM_001178583.3,NM_001178583.3*VHC1
NM_001178585.1,NM_001178585.1*PRP5
NM_001178590.1,NM_001178590.1*YBR242W
NM_001178592.3,NM_001178592.3*GPX2
NM_001178594.1,NM_001178594.1*RRT2
NM_001178598.1,NM_001178598.1*SPO23
NM_001178599.3,NM_001178599.3*MRPS5
NM_001178600.3,NM_001178600.3*DUT1
NM_001178601.1,NM_001178601.1*SRB6
NM_001178603.3,NM_001178603.3*MTC4
NM_001178605.1,NM_001178605.1*POP4
NM_001178607.3,NM_001178607.3*YBR259W
NM_001178611.3,NM_001178611.3*SHM1
NM_001178613.2,NM_001178613.2*TSC10
NM_001178615.4,NM_001178615.4*REI1
NM_001178616.3,NM_001178616.3*MRPL37
NM_001178619.3,NM_001178619.3*EFM2
NM_001178622.1,NM_001178622.1*CHK1
NM_001178626.1,NM_001178626.1*DPB3
NM_001178627.1,NM_001178627.1*PAF1
NM_001178630.1,NM_001178630.1*MRPL27
NM_001178632.3,NM_001178632.3*YBR284W
NM_001178633.4,NM_001178633.4*YBR285W
NM_001178634.1,NM_001178634.1*APE3
NM_001178635.1,NM_001178635.1*YBR287W
NM_001178637.4,NM_001178637.4*SNF5
NM_001178638.1,NM_001178638.1*BSD2
NM_001178641.3,NM_001178641.3*VBA2
NM_001178642.3,NM_001178642.3*SUL1
NM_001178643.2,NM_001178643.2*PCA1
NM_001178645.3,NM_001178645.3*MAL33
NM_001178647.3,NM_001178647.3*MAL32
NM_001178649.3,NM_001178649.3*PAU24
NM_001180054.1,NM_001180054.1*YBL113C
NM_001180053.1,NM_001180053.1*YBL112C
NM_001180052.1,NM_001180052.1*YBL111C
NM_001184458.1,NM_001184458.1*PAU9
NM_001178347.1,NM_001178347.1*MIX23
NM_001178346.2,NM_001178346.2*SRO77
NM_001178345.2,NM_001178345.2*PKC1
NM_001178344.1,NM_001178344.1*SEA4
NM_001178343.1,NM_001178343.1*RTG3
NM_001178341.1,NM_001178341.1*ECM21
NM_001178333.1,NM_001178333.1*ROX3
NM_001184321.1,NM_001184321.1*SCS22
NM_001178331.2,NM_001178331.2*MAP2
NM_001178328.2,NM_001178328.2*TEL1
NM_001178327.1,NM_001178327.1*RPL23A
NM_001178326.1,NM_001178326.1*YBL086C
NM_001178324.2,NM_001178324.2*CDC27
NM_001178322.1,NM_001178322.1*ALG3
NM_001178320.2,NM_001178320.2*PET112
NM_001178318.1,NM_001178318.1*ATG8
NM_001178316.1,NM_001178316.1*ILS1
NM_001178315.1,NM_001178315.1*SSA3
NM_001178314.1,NM_001178314.1*AAR2
NM_001178312.1,NM_001178312.1*RPS8A
NM_001184584.1,NM_001184584.1*YBL071C-B
NM_001346794.1,NM_001346794.1*YBL071C
NM_001178307.2,NM_001178307.2*UBP13
NM_001178306.1,NM_001178306.1*SEF1
NM_001178304.1,NM_001178304.1*PRX1
NM_001178301.1,NM_001178301.1*SKT5
NM_001184440.1,NM_001184440.1*CMC2
NM_001178297.2,NM_001178297.2*PTH2
NM_001178295.1,NM_001178295.1*YBL055C
NM_001178292.1,NM_001178292.1*SAS3
NM_001178291.1,NM_001178291.1*PIN4
NM_001178287.1,NM_001178287.1*EDE1
NM_001178285.1,NM_001178285.1*COR1
NM_001178282.1,NM_001178282.1*FUI1
NM_001178280.1,NM_001178280.1*ERD2
NM_001178279.1,NM_001178279.1*URA7
NM_001178276.1,NM_001178276.1*YBL036C
NM_001178275.1,NM_001178275.1*POL12
NM_001178274.1,NM_001178274.1*STU1
NM_001178273.1,NM_001178273.1*RIB1
NM_001178270.1,NM_001178270.1*PET9
NM_001184457.1,NM_001184457.1*YBL029C-A
NM_001178268.1,NM_001178268.1*YBL028C
NM_001178263.1,NM_001178263.1*MCM2
NM_001178262.1,NM_001178262.1*PIM1
NM_001178261.1,NM_001178261.1*HAP3
NM_001178258.1,NM_001178258.1*POP8
NM_001178257.1,NM_001178257.1*PEP1
rna-tG(GCC)B,rna-tG(GCC)B*tG(GCC)B
NM_001178254.2,NM_001178254.2*RRN6
NM_001178250.1,NM_001178250.1*YBL010C
NM_001178247.1,NM_001178247.1*SLA1
NM_001178246.1,NM_001178246.1*LDB7
NM_001178243.1,NM_001178243.1*HTA2
NM_001178241.1,NM_001178241.1*ECM15
NM_001178349.1,NM_001178349.1*NTH2
NM_001178350.1,NM_001178350.1*RER2
NM_001178352.2,NM_001178352.2*GPI18
NM_001178355.2,NM_001178355.2*DSF2
NM_001178356.1,NM_001178356.1*FLR1
NM_001178357.1,NM_001178357.1*HHF1
NM_001178359.1,NM_001178359.1*IPP1
NM_001178361.1,NM_001178361.1*YBR013C
NM_001178362.1,NM_001178362.1*GRX7
NM_001178363.1,NM_001178363.1*MNN2
NM_001178365.1,NM_001178365.1*KAP104
NM_001178366.1,NM_001178366.1*GAL7
NM_001178367.1,NM_001178367.1*GAL10
NM_001178371.1,NM_001178371.1*CHS3
NM_001178373.1,NM_001178373.1*OLA1
NM_001178374.1,NM_001178374.1*ETR1
NM_001346795.1,NM_001346795.1*YBR027C
NM_001178376.1,NM_001178376.1*YPK3
NM_001178377.1,NM_001178377.1*CDS1
NM_001178382.1,NM_001178382.1*HMT1
NM_001178383.1,NM_001178383.1*PDX3
NR_132152.1,NR_132152.1*snR161
NM_001178384.1,NM_001178384.1*CSG2
NM_001178385.1,NM_001178385.1*SCO1
NM_001178390.1,NM_001178390.1*CST26
NM_001178391.2,NM_001178391.2*QDR3
NM_001178392.2,NM_001178392.2*TCM62
rna-tV(UAC)B,rna-tV(UAC)B*tV(UAC)B
NM_001178393.2,NM_001178393.2*GIP1
NM_001178394.1,NM_001178394.1*ZTA1
NM_001178397.1,NM_001178397.1*REB1
NM_001178398.1,NM_001178398.1*REG2
NM_001178400.1,NM_001178400.1*RFS1
NM_001178401.1,NM_001178401.1*YBR053C
NM_001178403.1,NM_001178403.1*PRP6
NM_001178405.1,NM_001178405.1*MUM2
NM_001178406.1,NM_001178406.1*UBP14
NM_001184442.3,NM_001184442.3*TSC3
NM_001178407.1,NM_001178407.1*AKL1
NM_001178408.1,NM_001178408.1*ORC2
NM_001178409.3,NM_001178409.3*TRM7
NM_001178410.1,NM_001178410.1*YBR062C
NM_001178411.1,NM_001178411.1*YBR063C
NM_001178413.3,NM_001178413.3*ECM2
NM_001178414.1,NM_001178414.1*NRG2
NM_001178415.1,NM_001178415.1*TIP1
NM_001178416.4,NM_001178416.4*BAP2
NM_001178417.1,NM_001178417.1*TAT1
NM_001178418.1,NM_001178418.1*ALG14
NM_001184540.1,NM_001184540.1*YBR072C-A
NM_001178425.3,NM_001178425.3*SLM4
NM_001178427.1,NM_001178427.1*RPG1
NM_001178428.3,NM_001178428.3*SEC18
NM_001178429.1,NM_001178429.1*SPT7
NM_001178430.1,NM_001178430.1*UBC4
NM_001180057.1,NM_001180057.1*RPL19A
NM_001184443.1,NM_001184443.1*YBR085C-A
NM_001178434.1,NM_001178434.1*IST2
NM_001178436.1,NM_001178436.1*POL30
NM_001180058.2,NM_001180058.2*NHP6B
NM_001178438.4,NM_001178438.4*YBR090C
NM_001178439.1,NM_001178439.1*TIM12
NM_001178440.1,NM_001178440.1*PHO3
NM_001178441.3,NM_001178441.3*PHO5
NM_001178443.1,NM_001178443.1*RXT2
NM_001178449.3,NM_001178449.3*FES1
NM_001178450.1,NM_001178450.1*EXO84
NM_001178453.1,NM_001178453.1*VID24
NM_001178455.3,NM_001178455.3*IML3
NM_001178457.1,NM_001178457.1*CMD1
NM_001178459.1,NM_001178459.1*YSA1
NM_001178460.3,NM_001178460.3*CYC8
NM_001178463.1,NM_001178463.1*LYS2
NM_001178465.3,NM_001178465.3*TKL2
NM_001178468.3,NM_001178468.3*CBP6
NM_001178469.2,NM_001178469.2*GRS1
NM_001178470.1,NM_001178470.1*MRPL36
NM_001178471.3,NM_001178471.3*TFC1
NM_001178473.1,NM_001178473.1*PTC4
NM_001178474.1,NM_001178474.1*TPS1
NM_001178475.3,NM_001178475.3*VMA2
NM_001178476.1,NM_001178476.1*ATG14
NM_001178477.1,NM_001178477.1*OPY1
NM_001178478.3,NM_001178478.3*SHE3
NM_001178480.1,NM_001178480.1*AGP2
NM_001178481.1,NM_001178481.1*HSL7
NM_001178486.2,NM_001178486.2*YBR138C
NM_001178488.3,NM_001178488.3*IRA1
NM_001178489.2,NM_001178489.2*BMT2
NM_001178491.3,NM_001178491.3*SUP45
NM_001348890.1,NM_001348890.1*YBR144C
NM_001178498.1,NM_001178498.1*TBS1
NM_001178502.1,NM_001178502.1*RPB5
NM_001178504.3,NM_001178504.3*SLI15
NM_001178505.3,NM_001178505.3*ICS2
NM_001178510.1,NM_001178510.1*TOS1
NM_001178512.3,NM_001178512.3*ARL1
NM_001178514.1,NM_001178514.1*TYR1
NM_001178515.3,NM_001178515.3*POP7
NM_001178517.1,NM_001178517.1*SSE2
NM_001178518.1,NM_001178518.1*NPL4
NM_001178520.3,NM_001178520.3*SMY2
NM_001178521.1,NM_001178521.1*UMP1
NM_001178525.3,NM_001178525.3*EHT1
NM_001178527.1,NM_001178527.1*FZO1
NM_001178529.3,NM_001178529.3*RPS6B
NM_001178530.3,NM_001178530.3*SMP1
NM_001184586.1,NM_001184586.1*YBR182C-A
NM_001178533.3,NM_001178533.3*MBA1
NM_001178536.3,NM_001178536.3*NTC20
NM_001178541.3,NM_001178541.3*MED8
NM_001178543.1,NM_001178543.1*MSI1
NM_001178544.1,NM_001178544.1*PGI1
NM_001184541.3,NM_001184541.3*YBR196C-A
NM_001184643.3,NM_001184643.3*YBR196C-B
NM_001178545.1,NM_001178545.1*YBR197C
NM_001178546.1,NM_001178546.1*TAF5
NM_001184676.3,NM_001184676.3*YBR201C-A
NM_001178552.2,NM_001178552.2*LDH1
NM_001178556.1,NM_001178556.1*DUR1,2
rna-tC(GCA)B,rna-tC(GCA)B*tC(GCA)B
NM_001178559.3,NM_001178559.3*AME1
NM_001178564.3,NM_001178564.3*YBP1
NM_001178566.1,NM_001178566.1*PYC2
NM_001178567.3,NM_001178567.3*YBR219C
NM_001178568.3,NM_001178568.3*YBR220C
NM_001178569.1,NM_001178569.1*PDB1
NM_001178570.3,NM_001178570.3*PCS60
NM_001178571.3,NM_001178571.3*TDP1
NM_001178575.1,NM_001178575.1*MCX1
NM_001178577.3,NM_001178577.3*ROT2
NM_001178578.1,NM_001178578.1*OM14
NR_132154.1,NR_132154.1*LSR1
NM_001178579.3,NM_001178579.3*SWC5
NM_001178582.1,NM_001178582.1*ARC40
NM_001178584.3,NM_001178584.3*ABD1
NM_001178586.1,NM_001178586.1*YBR238C
NM_001178587.3,NM_001178587.3*ERT1
NM_001178588.3,NM_001178588.3*THI2
NM_001178589.1,NM_001178589.1*YBR241C
NM_001178591.3,NM_001178591.3*ALG7
NM_001178593.1,NM_001178593.1*ISW1
NM_001178595.3,NM_001178595.3*ENP1
NM_001178596.3,NM_001178596.3*HIS7
NM_001178597.1,NM_001178597.1*ARO4
NM_001178602.1,NM_001178602.1*TRS20
NM_001184510.3,NM_001184510.3*RCF3
NM_001178604.1,NM_001178604.1*RIB5
NM_001178606.3,NM_001178606.3*SHG1
NM_001178608.1,NM_001178608.1*RGD1
NM_001178609.1,NM_001178609.1*TAE1
NM_001178610.3,NM_001178610.3*MIC12
NM_001178612.1,NM_001178612.1*YPT10
NM_001178617.1,NM_001178617.1*SDH8
NM_001178618.2,NM_001178618.2*BIT2
NM_001178620.3,NM_001178620.3*HSM3
NM_001178621.1,NM_001178621.1*UBX7
NM_001178623.4,NM_001178623.4*RIF1
NM_001178624.3,NM_001178624.3*PPS1
NM_001178628.3,NM_001178628.3*SAF1
NM_001178629.3,NM_001178629.3*DUG2
NM_001178631.1,NM_001178631.1*SSH1
NM_001178636.4,NM_001178636.4*APM3
NM_001178639.1,NM_001178639.1*CTP1
NM_001348892.1,NM_001348892.1*YBR292C
NM_001178644.1,NM_001178644.1*PHO89
NM_001184587.3,NM_001184587.3*YBR296C-A
NM_001178646.1,NM_001178646.1*MAL31
NM_001184588.1,NM_001184588.1*YBR298C-A
NM_001178650.1,NM_001178650.1*COS2
NM_001178710.1,NM_001178710.1*VBA3
NM_001178707.1,NM_001178707.1*HMLALPHA1
NM_001178705.1,NM_001178705.1*VAC17
NM_001184528.1,NM_001184528.1*ADF1
NM_001178701.1,NM_001178701.1*PRD1
NM_001178699.1,NM_001178699.1*KAR4
NM_001305014.1,NM_001305014.1*RDT1
NM_001178698.1,NM_001178698.1*SPB1
NM_001178696.1,NM_001178696.1*LRE1
NM_001184678.1,NM_001184678.1*YCL048W-A
NM_001178693.1,NM_001178693.1*SPS22
NM_001178687.1,NM_001178687.1*YCL042W
NM_001178685.1,NM_001178685.1*GLK1
NM_001178684.1,NM_001178684.1*GID7
NM_001178681.1,NM_001178681.1*GFD2
NM_001178679.1,NM_001178679.1*LSB5
NM_001178677.1,NM_001178677.1*STE50
NM_001178673.1,NM_001178673.1*RNQ1
NM_001178672.1,NM_001178672.1*FUS1
NM_001178670.1,NM_001178670.1*KCC4
NM_001184450.1,NM_001184450.1*YCL021W-A
NM_001178667.1,NM_001178667.1*YCL020W
NM_001178666.2,NM_001178666.2*YCL019W
rna-tL(CAA)C,rna-tL(CAA)C*SUP53
NM_001178665.1,NM_001178665.1*LEU2
NM_001178662.1,NM_001178662.1*BUD3
NM_001184518.1,NM_001184518.1*VMA9
NM_001178654.1,NM_001178654.1*LDB16
NM_001178653.1,NM_001178653.1*PGS1
NM_001178651.1,NM_001178651.1*RER1
NM_001184314.1,NM_001184314.1*YCL001W-A
NM_001184462.1,NM_001184462.1*YCL001W-B
NM_001348893.1,NM_001348893.1*YCR001W
NM_001178716.1,NM_001178716.1*MRPL32
rna-tN(GUU)C,rna-tN(GUU)C*tN(GUU)C
NM_001178721.1,NM_001178721.1*SAT4
NM_001178725.1,NM_001178725.1*PGK1
NM_001178729.1,NM_001178729.1*YCR016W
rna-tM(CAU)C,rna-tM(CAU)C*tM(CAU)C
NM_001178732.1,NM_001178732.1*MAK32
NM_001184313.1,NM_001184313.1*HTL1
NR_132157.1,NR_132157.1*snR65
NM_001178746.1,NM_001178746.1*BPH1
NM_001178747.1,NM_001178747.1*SNT1
NM_001178748.1,NM_001178748.1*ELO2
NM_001178750.1,NM_001178750.1*RBK1
NM_001178754.1,NM_001178754.1*MATALPHA1
NM_001310667.1,NM_001310667.1*YCR041W
NM_001178762.1,NM_001178762.1*ARE1
NM_001178765.1,NM_001178765.1*YCR051W
NM_001178766.1,NM_001178766.1*RSC6
NM_001178767.1,NM_001178767.1*THR4
NM_001178771.1,NM_001178771.1*TAH1
NM_001178772.1,NM_001178772.1*YCR061W
rna-tS(CGA)C,rna-tS(CGA)C*SUP61
NM_001178774.1,NM_001178774.1*BUD31
NM_001178776.1,NM_001178776.1*HCM1
NM_001178777.1,NM_001178777.1*RAD18
NM_001178779.1,NM_001178779.1*ATG15
NM_001178780.1,NM_001178780.1*CPR4
NM_001178815.1,NM_001178815.1*SOL2
